plot,treatment,Algal_Total,Algal_Species,Id,morph,growth,growthBin,dead,algalContact,avgContact,max,Month,Year,Species,Percent_cover,tile,recruits,algaeBiomass_mg
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,July,2013,totalUpright,56,1,0,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,July,2013,totalUpright,56,2,1,35
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,July,2013,totalUpright,56,3,1,28
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,July,2013,totalUpright,56,4,1,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,July,2013,artCal,9,1,0,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,July,2013,artCal,9,2,1,35
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,July,2013,artCal,9,3,1,28
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,July,2013,artCal,9,4,1,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,July,2013,cca,4,1,0,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,July,2013,cca,4,2,1,35
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,July,2013,cca,4,3,1,28
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,July,2013,cca,4,4,1,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,July,2013,Turf,25,1,0,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,July,2013,Turf,25,2,1,35
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,July,2013,Turf,25,3,1,28
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,July,2013,Turf,25,4,1,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,July,2013,totalAlgae,98,1,0,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,July,2013,totalAlgae,98,2,1,35
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,July,2013,totalAlgae,98,3,1,28
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,July,2013,totalAlgae,98,4,1,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,July,2013,stonyCorals,6,1,0,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,July,2013,stonyCorals,6,2,1,35
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,July,2013,stonyCorals,6,3,1,28
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,July,2013,stonyCorals,6,4,1,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,July,2013,gorgonians,7,1,0,88
